Negative, Neutral,Positive,Sentiment Score,Class
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.375,0.625,0,-0.375,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.706,0.294,0,-0.706,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.625,0.375,0.375,3
0,1,0,0,2
0,1,0,0,2
0.756,0.244,0,-0.756,1
0.787,0.213,0,-0.787,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.312,0.688,0.688,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.592,0.408,0,-0.592,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.615,0.385,0.385,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.718,0.282,0,-0.718,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.836,0.164,0,-0.836,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.355,0.645,0,-0.355,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.536,0.464,0.464,3
0,1,0,0,2
0,1,0,0,2
0.545,0.455,0,-0.545,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.592,0.408,0,-0.592,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.37,0.63,0.63,3
0,1,0,0,2
0,0.303,0.697,0.697,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.192,0.808,0.808,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.435,0.565,0.565,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.192,0.808,0.808,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.213,0.787,0.787,3
0,1,0,0,2
0,1,0,0,2
0.355,0.645,0,-0.355,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.718,0.282,0,-0.718,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.368,0.175,0.456,0.088,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.216,0.784,0,-0.216,1
0,1,0,0,2
0.706,0.294,0,-0.706,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
