Negative,Neutral,Positive,Sentiment score,Class
0.577,0.219,0.204,-0.372,1
0.007,0.642,0.35,0.343,3
0.306,0.381,0.313,0.007,3
0.067,0.373,0.56,0.493,3
0.06,0.672,0.269,0.209,3
0.386,0.295,0.318,-0.068,1
0.016,0.453,0.531,0.516,3
0.048,0.246,0.706,0.659,3
0.04,0.419,0.54,0.5,3
0.189,0.287,0.525,0.336,3
0.425,0.292,0.283,-0.142,1
0.008,0.445,0.546,0.538,3
0.076,0.203,0.72,0.644,3
0.11,0.398,0.492,0.381,3
0.068,0.333,0.598,0.53,3
0.148,0.226,0.626,0.478,3
0.193,0.325,0.482,0.289,3
0.061,0.272,0.667,0.605,3
0.027,0.33,0.643,0.616,3
0.234,0.577,0.189,-0.045,1
0.145,0.327,0.527,0.382,3
0.019,0.602,0.38,0.361,3
0.14,0.411,0.449,0.308,3
0.019,0.393,0.589,0.57,3
0.321,0.274,0.406,0.085,3
0.01,0.943,0.048,0.038,3
0.01,0.333,0.657,0.648,3
0.049,0.427,0.524,0.476,3
0.176,0.314,0.51,0.333,3
0.168,0.386,0.446,0.277,3
0.12,0.35,0.53,0.41,3
0.141,0.283,0.576,0.434,3
0.01,0.333,0.657,0.646,3
0.041,0.184,0.776,0.735,3
0.092,0.316,0.592,0.5,3
0.143,0.255,0.602,0.459,3
0.041,0.247,0.711,0.67,3
0.144,0.464,0.392,0.247,3
0.263,0.253,0.484,0.221,3
0.053,0.358,0.589,0.537,3
0.389,0.284,0.326,-0.063,1
0.096,0.298,0.606,0.511,3
0.183,0.366,0.452,0.269,3
0.032,0.925,0.043,0.011,3
0.538,0.363,0.099,-0.44,1
0.132,0.165,0.703,0.571,3
0.066,0.352,0.582,0.516,3
0.165,0.341,0.495,0.33,3
0.187,0.692,0.121,-0.066,1
0.101,0.371,0.528,0.427,3
0.23,0.552,0.218,-0.011,1
0.08,0.437,0.483,0.402,3
0.161,0.23,0.609,0.448,3
0.115,0.483,0.402,0.287,3
0.395,0.233,0.372,-0.023,1
0.291,0.279,0.43,0.14,3
0.174,0.349,0.477,0.302,3
0.129,0.306,0.565,0.435,3
0.071,0.2,0.729,0.659,3
0.353,0.353,0.294,-0.059,1
0.155,0.214,0.631,0.476,3
0.083,0.238,0.679,0.595,3
0.012,0.512,0.476,0.464,3
0.536,0.405,0.06,-0.476,1
0.349,0.229,0.422,0.072,3
0.111,0.173,0.716,0.605,3
0.1,0.238,0.663,0.563,3
0.038,0.35,0.613,0.575,3
0.291,0.266,0.443,0.152,3
0.101,0.367,0.532,0.43,3
0.077,0.372,0.551,0.474,3
0.026,0.169,0.805,0.779,3
0.377,0.39,0.234,-0.143,1
0.145,0.197,0.658,0.513,3
0.013,0.829,0.158,0.145,3
0.333,0.413,0.253,-0.08,1
0.122,0.216,0.662,0.541,3
0.658,0.219,0.123,-0.534,1
0.123,0.233,0.644,0.521,3
0.041,0.534,0.425,0.384,3
0.268,0.296,0.437,0.169,3
0.028,0.423,0.549,0.521,3
0.085,0.239,0.676,0.592,3
0.014,0.014,0.972,0.958,3
0.071,0.271,0.657,0.586,3
0.159,0.58,0.261,0.101,3
0.072,0.594,0.333,0.261,3
0.13,0.449,0.42,0.29,3
0.101,0.362,0.536,0.435,3
0.246,0.348,0.406,0.159,3
0.088,0.338,0.574,0.485,3
0.132,0.559,0.309,0.176,3
0.209,0.328,0.463,0.254,3
0.179,0.284,0.537,0.358,3
0.061,0.197,0.742,0.682,3
0.138,0.492,0.369,0.231,3
0.262,0.354,0.385,0.123,3
0.138,0.492,0.369,0.231,3
0.015,0.954,0.031,0.015,3
0.109,0.328,0.563,0.453,3
0.175,0.444,0.381,0.206,3
0.066,0.279,0.656,0.59,3
0.049,0.213,0.738,0.689,3
0.115,0.426,0.459,0.344,3
0.016,0.852,0.131,0.115,3
0.574,0.311,0.115,-0.459,1
0.098,0.361,0.541,0.443,3
0.283,0.317,0.4,0.117,3
0.417,0.183,0.4,-0.017,1
0.167,0.367,0.467,0.3,3
0.068,0.475,0.458,0.39,3
0.254,0.22,0.525,0.271,3
0.086,0.241,0.672,0.586,3
0.155,0.259,0.586,0.431,3
0.121,0.121,0.759,0.638,3
0.544,0.281,0.175,-0.368,1
0.193,0.298,0.509,0.316,3
0.446,0.339,0.214,-0.232,1
0.071,0.696,0.232,0.161,3
0.036,0.607,0.357,0.321,3
0.055,0.182,0.764,0.709,3
0.109,0.655,0.236,0.127,3
0.019,0.056,0.926,0.907,3
0.037,0.315,0.648,0.611,3
0.074,0.444,0.481,0.407,3
0.269,0.404,0.327,0.058,3
0.096,0.5,0.404,0.308,3
0.577,0.173,0.25,-0.327,1
0.25,0.25,0.5,0.25,3
0.058,0.558,0.385,0.327,3
0.096,0.404,0.5,0.404,3
0.12,0.24,0.64,0.52,3
0.14,0.4,0.46,0.32,3
0.14,0.28,0.58,0.44,3
0.02,0.82,0.16,0.14,3
0.16,0.74,0.1,-0.06,1
0.163,0.347,0.49,0.327,3
0.102,0.551,0.347,0.245,3
0.02,0.918,0.061,0.041,3
0.042,0.521,0.438,0.396,3
0.542,0.229,0.229,-0.313,1
0.146,0.292,0.563,0.417,3
0.146,0.396,0.458,0.313,3
0.021,0.271,0.708,0.688,3
0.125,0.333,0.542,0.417,3
0.128,0.426,0.447,0.319,3
0.17,0.191,0.638,0.468,3
0.065,0.283,0.652,0.587,3
0.174,0.413,0.413,0.239,3
0.065,0.674,0.261,0.196,3
0.156,0.333,0.511,0.356,3
0.044,0.244,0.711,0.667,3
0.156,0.333,0.511,0.356,3
0.133,0.289,0.578,0.444,3
0.477,0.205,0.318,-0.159,1
0.182,0.568,0.25,0.068,3
0.205,0.227,0.568,0.364,3
0.209,0.186,0.605,0.395,3
0.209,0.512,0.279,0.07,3
0.07,0.372,0.558,0.488,3
0.186,0.047,0.767,0.581,3
0.163,0.442,0.395,0.233,3
0.07,0.581,0.349,0.279,3
0.233,0.233,0.535,0.302,3
0.233,0.14,0.628,0.395,3
0.07,0.302,0.628,0.558,3
0.233,0.512,0.256,0.023,3
0.256,0.349,0.395,0.14,3
0.163,0.628,0.209,0.047,3
0.071,0.333,0.595,0.524,3
0.024,0.643,0.333,0.31,3
0.048,0.619,0.333,0.286,3
0.171,0.415,0.415,0.244,3
0.171,0.122,0.707,0.537,3
0.025,0.5,0.475,0.45,3
0.1,0.425,0.475,0.375,3
0.25,0.15,0.6,0.35,3
0.125,0.3,0.575,0.45,3
0.175,0.45,0.375,0.2,3
0.1,0.3,0.6,0.5,3
0.154,0.256,0.59,0.436,3
0.154,0.154,0.692,0.538,3
0.026,0.692,0.282,0.256,3
0.105,0.447,0.447,0.342,3
0.079,0.421,0.5,0.421,3
0.184,0.579,0.237,0.053,3
0.026,0.368,0.605,0.579,3
0.132,0.395,0.474,0.342,3
0.158,0.474,0.368,0.211,3
0.162,0.486,0.351,0.189,3
0.027,0.351,0.622,0.595,3
0.622,0.243,0.135,-0.486,1
0.108,0.432,0.459,0.351,3
0.027,0.405,0.568,0.541,3
0.389,0.194,0.417,0.028,3
0.139,0.417,0.444,0.306,3
0.583,0.167,0.25,-0.333,1
0.111,0.222,0.667,0.556,3
0.139,0.278,0.583,0.444,3
0.194,0.278,0.528,0.333,3
0.028,0.333,0.639,0.611,3
0.028,0.889,0.083,0.056,3
0.086,0.343,0.571,0.486,3
0.114,0.286,0.6,0.486,3
0.029,0.543,0.429,0.4,3
0.086,0.257,0.657,0.571,3
0.029,0.286,0.686,0.657,3
0.314,0.514,0.171,-0.143,1
0.176,0.412,0.412,0.235,3
0.147,0.176,0.676,0.529,3
0.152,0.333,0.515,0.364,3
0.091,0.848,0.061,-0.03,1
0.182,0.364,0.455,0.273,3
0.273,0.242,0.485,0.212,3
0.03,0.697,0.273,0.242,3
0.061,0.727,0.212,0.152,3
0.188,0.344,0.469,0.281,3
0.313,0.313,0.375,0.063,3
0.25,0.375,0.375,0.125,3
0.719,0.156,0.125,-0.594,1
0.031,0.719,0.25,0.219,3
0.156,0.5,0.344,0.188,3
0.194,0.258,0.548,0.355,3
0.097,0.419,0.484,0.387,3
0.097,0.29,0.613,0.516,3
0.226,0.097,0.677,0.452,3
0.258,0.355,0.387,0.129,3
0.032,0.065,0.903,0.871,3
0.032,0.581,0.387,0.355,3
0.032,0.548,0.419,0.387,3
0.032,0.032,0.935,0.903,3
0.3,0.333,0.367,0.067,3
0.267,0.4,0.333,0.067,3
0.333,0.267,0.4,0.067,3
0.2,0.467,0.333,0.133,3
0.1,0.533,0.367,0.267,3
0.1,0.533,0.367,0.267,3
0.267,0.5,0.233,-0.033,1
0.172,0.241,0.586,0.414,3
0.069,0.172,0.759,0.69,3
0.138,0.345,0.517,0.379,3
0.034,0.138,0.828,0.793,3
0.034,0.724,0.241,0.207,3
0.179,0.286,0.536,0.357,3
0.214,0.536,0.25,0.036,3
0.036,0.357,0.607,0.571,3
0.071,0.607,0.321,0.25,3
0.143,0.393,0.464,0.321,3
0.321,0.429,0.25,-0.071,1
0.037,0.63,0.333,0.296,3
0.037,0.704,0.259,0.222,3
0.37,0.296,0.333,-0.037,1
0.115,0.385,0.5,0.385,3
0.231,0.308,0.462,0.231,3
0.077,0.346,0.577,0.5,3
0.231,0.269,0.5,0.269,3
0.231,0.154,0.615,0.385,3
0.346,0.269,0.385,0.038,3
0.192,0.385,0.423,0.231,3
0.269,0.5,0.231,-0.038,1
0.231,0.115,0.654,0.423,3
0.038,0.654,0.308,0.269,3
0.115,0.577,0.308,0.192,3
0.269,0.269,0.462,0.192,3
0.24,0.4,0.36,0.12,3
0.44,0.24,0.32,-0.12,1
0.08,0.16,0.76,0.68,3
0.12,0.36,0.52,0.4,3
0.16,0.8,0.04,-0.12,1
0.16,0.68,0.16,0,2
0.08,0.32,0.6,0.52,3
0.04,0.72,0.24,0.2,3
0.292,0.292,0.417,0.125,3
0.125,0.292,0.583,0.458,3
0.083,0.458,0.458,0.375,3
0.292,0.583,0.125,-0.167,1
0.042,0.417,0.542,0.5,3
0.292,0.375,0.333,0.042,3
0.125,0.208,0.667,0.542,3
0.042,0.625,0.333,0.292,3
0.083,0.542,0.375,0.292,3
0.217,0.435,0.348,0.13,3
0.478,0.391,0.13,-0.348,1
0.652,0.217,0.13,-0.522,1
0.087,0.348,0.565,0.478,3
0.043,0.609,0.348,0.304,3
0.043,0.478,0.478,0.435,3
0.087,0.304,0.609,0.522,3
0.217,0.696,0.087,-0.13,1
0.043,0.609,0.348,0.304,3
0.478,0.391,0.13,-0.348,1
0.409,0.364,0.227,-0.182,1
0.091,0.591,0.318,0.227,3
0.364,0.409,0.227,-0.136,1
0.091,0.5,0.409,0.318,3
